review_id,rating_date,review_year,review_month,employee_status,employee_type,employee_length,employee_location,job_title_bucket,flags_business_outlook,flags_ceo_approval,flags_recommend_friend,rating_overall,rating_work_life,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,rating_culture_values,rating_diversity_inclusion,summary_cleaned,advice_to_management_cleaned,review_pros_cleaned,review_cons_cleaned,pros_polarity,pros_subjectivity,cons_polarity,cons_subjectivity,pros_sentiment_label,cons_sentiment_label
84,2025-01-15,2025,2025-01,Part Time,Former Employee,0,"Warrington, North West England, England",Associate,No Response,No Response,No Response,3,0,0,0,0,0,0,good place learn,,develops strong work ethic employees,no consideration human feeling within workplace,0.4333333333,0.7333333333,0,0.1,positive,neutral
85,2025-01-11,2025,2025-01,Regular,"Former Employee, Less Than 1 Year",1,"Hamilton, ON",Associate,Positive,No Opinion,Positive,3,5,4,3,3,4,4,amazon fc hamilton great place work,eliminate hiring freeze,made mistake leaving never hard job well worth,cant get rehired arent hiring last,0.2229166667,0.3208333333,0,0.06666666667,positive,neutral
86,2025-01-11,2025,2025-01,Regular,Former Employees,2,"Dallas, TX",Associate,No Response,No Response,Negative,3,1,3,3,2,2,3,dont get comfortable,,pay not bad paid weekly,work like dog regardless age ability retention rate ridiculous managers always quit moved around,0.35,0.6666666667,-0.3333333333,1,positive,negative
87,2025-01-11,2025,2025-01,Regular,"Current Employee, Less Than 1 Year",1,"Huntley, IL","Management, IT, RME, HR",Positive,Approve,Positive,3,3,5,2,5,5,5,hard work,move people around get break positions give equal work everyone manager favors groups people,work friends sometimes take time job comes benefits,lot work body depending youre placed youre thing hours straight lifting heavy heavy boxes,0,0,-0.06666666667,0.4666666667,neutral,neutral
88,2025-01-10,2025,2025-01,Part Time,Current Employee,0,"Edison, NJ",Stower,No Response,No Response,No Response,3,2,3,3,3,3,4,rating,,make hours good pay free food sometimes,receptive brain mush boring physically mentally draining,0.55,0.7,-0.55,0.6,positive,negative
89,2025-01-10,2025,2025-01,Regular,Current Employees,4,"Hamilton, ON",Associate,Positive,Approve,Negative,3,4,4,4,4,4,4,amazing company,kind,benefit vacation tpo,big loads hard hours long,0,0,-0.1138888889,0.3472222222,neutral,negative
90,2025-01-10,2025,2025-01,Regular,Former Employees,2,"Grimes, IA",Associate,Negative,Disapprove,Negative,3,3,2,2,3,1,4,heavy lifting,,ok money good supervisors swag bucks,heavy lifting safety concern dont expect care pay injuries,0.6,0.55,-0.2,0.5,positive,negative
91,2025-01-09,2025,2025-01,Regular,"Former Employee, Less Than 1 Year",1,"Wilmington, DE",Associate,No Response,No Response,No Response,4,0,0,0,0,0,0,fulfillment center warehouse associate review amazon mtn wilmington,streamline workflows reduce strain peak seasons enhance recognition programs boost morale provide better training new current associates act employee feedback improve job satisfaction,competitive pay benefits healthcare k stock options opportunities career advancement skill development fastpaced engaging work environment supportive team culture approachable management job stability global company,physically demanding especially peak seasons long shifts limited break times fluctuating workload sometimes stressful noisy warehouse environment,0.3,0.5666666667,-0.03035714286,0.4214285714,positive,neutral
92,2025-01-08,2025,2025-01,Regular,"Current Employee, Less Than 1 Year",1,"Monroe, OH",Picker/Packer,Positive,Approve,Positive,2,1,5,1,1,1,1,terrible,stop flirting employees trying get way,pay good thats pretty much,lot drama know wanna even get different roll still paid,0.3833333333,0.6,0,0.6,positive,neutral
93,2025-01-08,2025,2025-01,Part Time,"Current Employee, Less Than 1 Year",1,"Lubbock, TX",Associate,No Response,No Response,Positive,4,5,4,3,3,4,4,good part time opportunity,,job repetitive relatively easy learn hr onsite helpful,job physically demanding get used isnt bad work ethic varies greatly hard work not appreciated besides compliments managers,0.09166666667,0.5416666667,-0.2729166667,0.362797619,neutral,negative
94,2025-01-03,2025,2025-01,Regular,Former Employees,2,"Orlando, FL",Associate,Positive,Disapprove,Negative,3,2,4,3,2,3,4,mco stow,stowers waterspiders not indirect role really need little bit directionlabor tracking,decent pay type work great benefits insurance k company stock educationcareer choice generous timeoff policy plenty people get know people person,physically demanding keeping job depends rate rate depend waterspider may not care not enough workgood work make rate stay bottom,0.4833333333,0.7083333333,0,0.3214285714,positive,neutral
95,2025-01-02,2025,2025-01,Part Time,Current Employee,0,"Robbinsville, NJ",Associate,No Response,No Response,No Response,3,5,3,2,1,1,5,okay,,pays bills guess,flex flex thing really annoying,0,0,-0.8,0.9,neutral,negative
96,2025-01-01,2025,2025-01,Regular,Former Employees,4,"Etna, OH",Associate,Neutral,No Opinion,Positive,3,4,3,3,3,4,4,good place,management keeps rotating,work terms,heavy items slow season,0,0,-0.25,0.45,neutral,negative
97,2024-12-29,2024,2024-12,Contract,"Current Employee, Less Than 1 Year",1,"Manchester, England",Associate,Positive,Approve,Positive,5,5,5,5,5,5,5,unkn,management good,good nice culture,need improve salary range,0.65,0.8,0,0,positive,neutral
98,2024-12-29,2024,2024-12,Part Time,Former Employee,0,"Dallas, TX",Associate,No Response,No Response,Positive,5,0,0,0,0,0,0,good place work,stay cat walk,benefits starts day,standing long period times short lunches,0,0,-0.025,0.35,neutral,neutral
99,2024-12-27,2024,2024-12,Part Time,Former Employees,2,"Greenfield, IN","Management, IT, RME, HR",Neutral,No Opinion,Negative,2,3,2,3,2,2,5,wasnt greatest,,pay good time accumulating every shift nice,really didnt care workers worked bathroom breaks like not acceptable,0.65,0.8,0.2,0.2,positive,positive
100,2024-12-25,2024,2024-12,Regular,"Former Employee, Less Than 1 Year",1,"Orlando, FL",Associate,Negative,Disapprove,Negative,1,2,1,1,1,1,5,not worth weather long shifts,dont tell incoming employees youll offer bonuses say sike get hired,simple day work week,hour shifts deal heat rain,0,0.3571428571,0,0,neutral,neutral
101,2024-12-25,2024,2024-12,Part Time,Current Employee,0,Unknown,Associate,Positive,Approve,Positive,3,3,2,3,3,2,4,decent,,decent pay job nothing crazy,part time get mins break,-0.2166666667,0.7833333333,0,0,negative,neutral
102,2024-12-17,2024,2024-12,Regular,Current Employee,0,"Scarborough, ON",Associate,No Response,No Response,No Response,5,5,5,5,5,5,5,nice place work,,gain alot knowledge,ready stand whole shift,0,0,0.2,0.45,neutral,positive
103,2024-12-17,2024,2024-12,Regular,Current Employees,20,"Charleston, TN",Associate,No Response,No Response,Positive,5,5,4,5,5,5,5,great benefits,,mutiple time options average health insurance options,small department not lot room move without moving,-0.15,0.4,-0.25,0.4,negative,negative
104,2024-12-16,2024,2024-12,Regular,Former Employees,2,"London, ON",Associate,No Response,No Response,Positive,4,4,5,4,4,4,5,,,good benefits good pay celebrations,repetitive work inappropriate rules partiality,0.7,0.6,-0.25,0.25,positive,negative
105,2024-12-16,2024,2024-12,Regular,Current Employees,4,"San Bernardino, CA","Management, IT, RME, HR",No Response,No Response,No Response,1,1,1,1,1,1,1,physically demanding job,,lots overtime worked hoursweek,cons pros website doesnt allow copy response,0,0,0,0,neutral,neutral
106,2024-12-15,2024,2024-12,Part Time,Current Employees,2,"Sparrows Point, MD",Associate,Positive,Disapprove,Positive,4,3,3,3,3,3,4,decent pay,,freedom opportunities career choice decent pay,physically tiring poor training not enough benefits,0.1666666667,0.6666666667,-0.1333333333,0.4142857143,positive,negative
107,2024-12-15,2024,2024-12,Regular,Former Employees,2,"Rugeley, England","Management, IT, RME, HR",No Response,No Response,No Response,1,1,1,3,1,1,3,cold,,good managers lot overtime available,cold warehouse lonely isolating job,0.55,0.5,-0.35,0.85,positive,negative
108,2024-12-14,2024,2024-12,Regular,Current Employees,2,"St. Thomas, ON",Associate,Positive,Approve,Positive,5,4,5,5,5,3,4,pay,,good pay rate associates,lot internal politics amazon warehouses,0.7,0.6,0,0,positive,neutral
109,2024-12-12,2024,2024-12,Regular,Current Employee,0,"Council Bluffs, IA",Associate,No Response,No Response,No Response,5,0,0,0,0,0,0,good place,,good place start warehouse job,temperature little chilly,0.7,0.6,-0.39375,0.7,positive,negative
110,2024-12-11,2024,2024-12,Regular,Former Employees,2,"Jeffersonville, IN",Associate,No Response,No Response,No Response,3,0,0,0,0,0,0,boring,,pto work every night,lots turn monotonous,0,0,0,0,neutral,neutral
111,2024-12-08,2024,2024-12,Regular,Former Employees,4,"Goodyear, AZ",Associate,No Response,No Response,No Response,4,4,5,4,5,5,5,amazon,,really good benefits,jobs get overwhelming,0.7,0.6,0.5,1,positive,positive
112,2024-12-07,2024,2024-12,Regular,Current Employee,0,"Leeds, England",Associate,No Response,No Response,No Response,4,0,0,0,0,0,0,good job pay,,easy not much weight handle,long shifts stationed one place,0.1666666667,0.5166666667,-0.05,0.4,positive,neutral
113,2024-12-05,2024,2024-12,Regular,Current Employees,4,"Edmonton, AB",Associate,No Response,No Response,Negative,3,1,3,3,3,2,3,good money hardwork,,good money better average job,favouritism no appreciation work youll get less work less give,0.35,0.5,-0.1666666667,0.06666666667,positive,negative
114,2024-12-04,2024,2024-12,Regular,Current Employees,9,"Windsor, CT",Picker/Packer,Positive,No Opinion,Positive,3,1,3,3,3,3,5,hard work,,fast advancements great benefits,high turnover not much accountability long hours holiday season,0.5,0.675,0.003333333333,0.38,positive,neutral
115,2024-12-03,2024,2024-12,Part Time,Current Employees,2,"Avenel, NJ",Associate,Positive,Approve,Positive,3,3,3,3,3,3,3,not bad,lower rate increase pay give shifts,simple work required,rate per hour slightly unreasonable due fact items heavy total harder walk around pushing heavy cart,0,0.3571428571,-0.1319444444,0.3819444444,neutral,negative
116,2024-12-03,2024,2024-12,Regular,Current Employees,4,"Saint Louis, MO",Stower,Negative,Disapprove,Negative,1,1,3,1,3,1,1,good benefits bad work culture,humans lives outside work somebodys child wife husband father mother grandparent not robots machines use toss away whenever feel like us amazon one choices make living families,great benefits flexible lots different positions try incase dont like main role free holiday meals year come leave work whenever want using unpaid time pto lay school offer career programs although tests get difficult,forced mandatory extra time met days hours regular shift days hours get forced cross trained get labor shares different departments wether like position not high expectations making rates position managers anyone lead positions micromanage breathe neck always getting watched judged everyone shut minimal concern nobody cares care saving behind get hurt well better pray dont amcare send doctor lie say werent hurt dont pay injury sue departments strict find reasons write use break time get back station sign scan something end break get trouble use break time walking break area far restrooms dont forget need use break time come back break time youll get trouble,0.1777777778,0.6472222222,-0.06533333333,0.3277948718,positive,neutral
117,2024-12-02,2024,2024-12,Regular,Former Employee,0,"Orlando, FL",Picker/Packer,No Response,No Response,No Response,3,0,0,0,0,0,0,amazon,,lot hard work,care numbers,-0.2916666667,0.5416666667,0,0,negative,neutral
118,2024-11-30,2024,2024-11,Part Time,Current Employees,2,"Ottawa, ON",Associate,No Response,Approve,Positive,5,4,5,5,5,5,5,amazon review,,good base pay health benefits paid vacation,work heavy sometimes need physical strength,-0.05,0.8,-0.1,0.3214285714,neutral,neutral
119,2024-11-29,2024,2024-11,Regular,"Current Employee, Less Than 1 Year",1,"Coconut Creek, FL",Picker/Packer,No Response,Approve,Positive,5,5,5,0,5,0,0,loved working,focus employee wellbeing encourage balance productivity employee health consider frequent breaks ergonomic assessments wellness programs,employment stability competitive pay benefits diverse workforce,physical demands management challenges monotonous tasks high turnover rates fast spaced environment,0,0,0.12,0.4276190476,neutral,positive
120,2024-11-27,2024,2024-11,Regular,Former Employee,0,"Charlotte, NC",Picker/Packer,No Response,No Response,No Response,5,0,0,0,0,0,0,pay good work sometimes bit boring,,paid hour u stay long enough u get better pay well least,ive heard treat ya like number robot,0.0375,0.45,0,0,neutral,neutral
121,2024-11-26,2024,2024-11,Regular,"Former Employee, Less Than 1 Year",1,"Calgary, AB","Management, IT, RME, HR",Positive,No Opinion,Positive,4,2,5,5,3,3,5,great place start oit,,great benefits great people work,work physically demanding,0.8,0.75,0,0.1428571429,positive,neutral
122,2024-11-23,2024,2024-11,Regular,"Former Employee, Less Than 1 Year",1,"Sioux Falls, SD","Management, IT, RME, HR",Positive,Approve,Positive,4,3,4,4,4,4,3,salary amazon,,good pay company lovely colleagues,much heat lot noise,0.6,0.675,0.2,0.2,positive,positive
123,2024-11-20,2024,2024-11,Regular,Former Employee,0,"St. Thomas, ON",Associate,No Response,No Response,No Response,2,3,4,1,2,2,1,nothign,,good pay nice shift hours,politics partiality play major role,0.65,0.8,0.0625,0.5,positive,neutral
124,2024-11-19,2024,2024-11,Regular,Former Employees,2,"Dartford, England","Management, IT, RME, HR",No Response,No Response,No Response,3,1,4,3,4,3,3,general,,flexible working schedules good pay,extremely physical employees treated machine sometimes,0.7,0.6,0,0.1428571429,positive,neutral
125,2024-11-18,2024,2024-11,Regular,Former Employee,0,"Ottawa, ON",Associate,No Response,No Response,No Response,1,1,1,1,1,1,1,review,treat associates respect dignity foster supportive environment especially challenging times ensure fair treatment employees including dealing workrelated injuries,good benefits valuable working experience opportunities learn grow,poor management support lack understanding personal hardships unfair treatment injured job highpressure environment unrealistic expectations times,0.7,0.6,-0.35,0.725,positive,negative
126,2024-11-10,2024,2024-11,Regular,Current Employee,1,"Carlislie, PA",Associate,Positive,No Opinion,Positive,4,4,5,1,5,3,4,great perks,,good benefits great timeoff options good pay career choice flex shift day work week,hour shifts occasional mandatory overtime work usually boring andor hard pressure meet rate timeofftask,0.7333333333,0.65,-0.4305555556,0.5555555556,positive,negative
127,2024-11-04,2024,2024-11,Regular,Former Employee,3,"Calgary, AB","Management, IT, RME, HR",Neutral,No Opinion,Negative,3,1,5,3,5,3,1,good pay bad work life balance,witnessed blatant nepotism tenure practice seek understands,base pay good benefits decent,amount hours tasks projects makes easy burnt feel underpaid year night rotations expect work hour weeks constantly performance based numbers feedback given bottom even entire team well,0.02222222222,0.7555555556,0.1444444444,0.5972222222,neutral,positive
128,2024-10-27,2024,2024-10,Regular,Former Employee,1,"Dartford, England","Management, IT, RME, HR",Neutral,No Opinion,Negative,2,1,2,2,3,2,4,job,,form income meet quite lot nice associates provide quite bit overtime especially peak period get early limited spots,everything strictly monitored instances penalised even going bathroom operations unrealistic expectations targets theyre mostly unobtainable unless cheat system slightly team leaders managers leave sometimes leave work associates extra breaks,0.1571428571,0.6107142857,-0.04166666667,0.4416666667,positive,neutral
129,2024-10-25,2024,2024-10,Regular,Former Employee,1,"Montreal, QC",Associate,Positive,Positive,Positive,5,5,5,5,5,5,5,good times,,flexible timing no dress code collaborative,distance safety warehouse job difficult,0,0,-0.5,1,neutral,negative
130,2024-10-22,2024,2024-10,Regular,Former Employee,1,"Baltimore, MD",Associate,Positive,No Opinion,Negative,2,1,5,2,2,2,5,good like concentration like labor,stop playing favorites promotion actually promote qualified people,good consistent pay many opportunities earn cash peak season,insane amount work concentration camp like labor,0.4833333333,0.45,-1,1,positive,negative
131,2024-10-22,2024,2024-10,Regular,Former Employee,1,"Kansas City, KS",Associate,Positive,Positive,Positive,3,3,5,4,3,4,4,high turnover,,comprehensive benefits flexible work hours,standing working daylong hours stress high turnover rate,0,0,0.16,0.54,neutral,positive
132,2024-10-21,2024,2024-10,Regular,Former Employee,8,"Haslet, TX","Management, IT, RME, HR",Negative,No Opinion,Negative,3,3,4,3,3,3,4,previously,plan continuously develop support subordinates role especially promoting within department along changes expectations position dramatically alter team dynamic work load time example department management not back filled upon departure company team needs coordinated effort balance responsibilities leadership department practical realistic plan attainable persons respective shift,pto upt vacation options time pay decent support colleagues department leadership stocks granted l hourly,extra responsibilities pseudo area manager due department manager departing company not back filling role nightshift schedule wage increases stagnant experience downsides hourly employee also expected area manager without training planexperience salaried l role,0.1666666667,0.6666666667,-0.05625,0.21875,positive,neutral
133,2024-10-19,2024,2024-10,Regular,Former Employee,3,"Swedesboro, NJ","Management, IT, RME, HR",Neutral,No Opinion,Neutral,3,2,4,2,2,2,3,hard work great benefits,,amazing hard working folks trying improve lot life forged lasting relationships,hard work feet hrs per day managers get bonus work dont really physically no bonuses packers pit drivers trainers pas,0.1027777778,0.4805555556,-0.1458333333,0.3422619048,positive,negative
134,2024-10-18,2024,2024-10,Regular,Current Employee,1,"Springfield, VA","Management, IT, RME, HR",Neutral,No Opinion,Negative,3,2,3,3,4,2,4,great experience operations,,quickly learn lead large scale operations grow interpersonal skills pay not great fair promote l get increase total comp takes year two depending business line placed,no control schedule especially busy season often work long hours deal team rather not give best effort cases graded metrics not fully control ie rate team score daily surveys leadership skills often rushed team used way get back,0.1695238095,0.6657142857,0.23,0.26,positive,positive
135,2024-10-14,2024,2024-10,Regular,Current Employee,1,"Wakefield, England",Picker/Packer,Negative,No Opinion,Negative,4,4,4,2,4,2,3,tough work okay company,take peoples health seriously,flexible working bus service get work okay pay chance train better roles lucky dip progress befriending management,strict targets not disability confident dull work,0.4444444444,0.6111111111,0.1041666667,0.6666666667,positive,positive
136,2024-10-14,2024,2024-10,Regular,Former Employee,1,"Wakefield, England",Associate,Neutral,No Opinion,Negative,2,1,3,3,3,2,4,targets reach unreasonable,understanding would nice example job demanding body even days knackered not hitting daily target not issue every time,lots overtime available want,physically demanding depending get stationed also cold depending station managers want unreasonable targets targets impossible busy season christmas prime week bus times not flexible get minutes shift,0.4,0.4,-0.2916666667,0.6107142857,positive,negative
137,2024-10-09,2024,2024-10,Regular,Current Employee,1,"Kent, WA",Picker/Packer,Negative,No Opinion,Negative,3,2,2,3,3,1,2,entry level position,not management created equal exceptional willing help present job,rather simple apply start job good starting wage,feet working hours not career choice would recommend wear tear body,0.2333333333,0.3523809524,0,0,positive,neutral
138,2024-10-08,2024,2024-10,Regular,Former Employee,1,"Ottawa, ON",Associate,Positive,Positive,Negative,5,5,3,4,4,5,5,warehouse associate review,focus safety employees,good pay easy get leave,hard work monotonous work hour shift,0.5666666667,0.7166666667,-0.2916666667,0.5416666667,positive,negative
139,2024-10-06,2024,2024-10,Regular,Former Employee,5,Dandenong South,"Management, IT, RME, HR",Negative,Positive,Negative,2,3,1,1,1,2,1,limited growth,get rid people think way dont allow another way would work better,occasional discounts parking ok,limited scope growth plenty favoritism discrimination promotion based know know,0.25,0.3125,-0.07142857143,0.1428571429,positive,neutral
140,2024-09-24,2024,2024-09,Regular,Former,1,"Daventry, England","Management, IT, RME, HR",Positive,No Opinion,Positive,4,4,3,4,4,3,5,okay,,good training support starting tracked performance isnt scary think progression possible push,roles involve solo work lonely unless form friendships,0.05,0.675,-0.1,0.7,neutral,neutral
